451,532,448,549,8,5
426,552,430,536,7,5
454,446,452,462,12,9
476,414,481,416,6,8
434,399,436,420,8,8
448,362,466,353,18,17
424,363,434,365,23,21
433,321,424,327,22,18
437,288,443,295,15,17
475,314,482,317,12,12
400,360,404,372,8,8
406,257,415,277,8,6
447,219,433,227,15,12
402,240,415,222,8,10
452,236,458,257,14,14
473,193,480,183,9,11
481,149,476,178,16,15
456,114,436,111,22,18
446,40,440,23,8,5
411,113,433,93,10,11
402,93,392,76,18,16
396,61,381,43,7,5
387,43,397,47,8,7
383,27,374,30,11,17
386,163,393,181,7,7
357,193,376,184,8,9
360,141,345,123,15,10
316,74,323,88,10,8
364,409,364,412,11,8
328,496,318,521,5,4
277,487,299,465,5,3
251,504,270,493,11,10
340,360,336,364,6,7
286,341,287,334,7,8
258,320,254,322,7,12
281,286,266,302,12,12
299,269,303,271,14,10
328,250,336,238,9,7
342,240,353,227,13,9
359,274,371,286,8,5
189,519,217,519,11,11
173,511,164,503,12,9
151,525,172,515,5,6
80,553,66,553,5,4
162,494,164,479,5,4
170,466,168,448,6,2
38,417,27,419,6,9
11,313,19,322,11,17
123,348,97,352,8,6
78,276,82,273,7,7
49,277,61,257,15,13
48,75,63,65,6,4
79,48,81,27,8,6
154,135,133,143,12,11
143,141,131,148,3,4
135,71,123,61,8,9
170,48,185,25,10,8
193,13,184,9,7,7
241,221,225,228,7,4
214,227,204,238,8,9
149,376,148,370,3,6
154,409,158,381,5,8
147,493,152,468,17,15
119,548,106,553,21,22
105,536,124,529,25,20
133,517,139,510,32,28
157,434,156,435,29,25
166,420,175,397,25,25
183,378,191,359,21,21
191,347,192,331,26,22
181,359,194,341,14,15
182,327,191,312,14,16
181,283,178,304,14,13
165,285,168,271,6,8
184,266,190,250,26,29
201,274,200,270,27,22
176,237,189,207,21,20
215,192,216,204,26,24
202,182,209,166,23,20
233,167,227,186,16,20
241,137,253,121,23,25
189,151,201,129,11,10
179,206,180,214,3,9
290,15,282,15,6,4
257,55,253,51,8,5
238,86,246,87,15,13
307,24,316,13,29,30
309,65,320,51,34,37
297,65,290,90,26,24
288,80,299,61,31,29
