505,19,503,9,12,13
497,62,479,75,15,15
396,166,378,174,13,12
496,232,495,202,14,10
515,278,511,261,19,16
552,297,575,308,18,15
515,309,515,322,16,14
486,299,460,303,12,11
569,348,579,334,18,13
554,340,558,335,15,16
538,419,526,429,12,9
566,415,583,400,11,12
540,459,547,443,13,10
518,513,526,492,8,7
476,461,476,467,13,8
535,599,529,577,17,16
500,617,504,624,18,18
419,254,409,272,17,12
408,290,398,299,15,11
395,321,427,313,12,10
283,608,305,637,14,12
300,574,298,584,12,10
247,582,227,575,10,12
311,455,307,440,14,15
312,391,298,382,15,12
229,377,253,384,12,10
72,455,80,461,20,20
150,432,159,420,21,14
140,449,141,444,14,20
16,613,10,618,15,13
7,377,12,349,14,12
226,343,220,338,15,12
202,359,197,368,16,13
237,317,244,296,11,10
308,214,292,191,12,11
199,245,201,244,16,13
172,252,153,249,13,14
219,245,252,242,15,17
245,142,248,132,17,16
245,86,248,97,20,16
123,82,145,73,14,13
102,95,130,84,17,15
25,112,15,124,17,17
70,225,63,227,13,16
82,235,88,235,18,21
37,170,41,167,15,16
