609,484,604,472,16,17
565,389,562,373,27,28
583,399,604,406,18,13
469,467,471,454,9,12
464,387,460,423,27,18
507,360,512,366,23,19
444,327,441,318,23,26
455,294,467,302,21,21
480,337,486,304,25,25
436,226,443,248,32,36
463,225,477,236,32,26
422,246,422,236,27,30
410,284,405,281,27,17
381,242,370,241,20,28
392,188,391,202,25,29
390,206,397,181,32,27
372,138,380,151,29,29
385,135,358,119,15,18
432,197,422,180,15,12
577,328,569,323,14,14
328,106,333,102,19,23
303,15,284,18,19,20
294,39,275,40,20,27
271,67,286,62,32,26
244,34,259,46,37,29
227,12,244,26,31,32
237,45,268,48,18,23
180,12,193,36,16,17
344,198,351,202,26,21
258,114,242,113,21,18
223,95,211,70,18,18
288,121,303,146,23,23
208,134,204,134,21,17
316,208,319,213,20,26
289,179,314,205,19,24
352,310,358,325,23,19
390,336,405,343,21,23
367,329,383,356,24,20
321,486,313,489,18,18
412,437,413,429,19,17
400,467,411,482,15,19
386,458,394,445,16,14
307,367,307,386,13,16
302,344,291,333,19,21
281,425,276,424,21,17
162,438,167,440,20,16
158,482,164,479,16,12
222,428,215,431,23,19
197,386,187,364,19,20
151,340,145,345,21,21
209,308,202,316,21,21
110,388,114,398,13,13
92,409,99,413,11,9
19,487,16,487,16,12
72,320,61,317,21,22
112,293,127,309,20,19
45,258,53,259,24,24
233,241,239,258,23,20
168,264,161,238,14,15
201,211,190,186,19,18
148,201,152,201,19,16
84,209,87,200,29,28
77,198,69,186,18,21
37,183,58,182,20,24
46,196,62,193,21,22
10,187,19,221,26,21
8,212,15,225,18,20
119,116,107,92,22,19
111,90,88,54,26,20
97,53,84,31,23,22
75,29,59,19,19,16
